date,spot,fwd_W2,fwd_M1,fwd_W6,fwd_M2,fwd_M3,fwd_M4,fwd_M5,fwd_M6,fwd_M9,fwd_Y1,min_W2,min_M1,min_W6,min_M2,min_M3,min_M4,min_M5,min_M6,min_M9,min_Y1,level_W2,level_M1,level_W6,level_M2,level_M3,level_M4,level_M5,level_M6,level_M9,level_Y1,skew_W2,skew_M1,skew_W6,skew_M2,skew_M3,skew_M4,skew_M5,skew_M6,skew_M9,skew_Y1,conv_W2,conv_M1,conv_W6,conv_M2,conv_M3,conv_M4,conv_M5,conv_M6,conv_M9,conv_Y1,adjSkew_W2,adjSkew_M1,adjSkew_W6,adjSkew_M2,adjSkew_M3,adjSkew_M4,adjSkew_M5,adjSkew_M6,adjSkew_M9,adjSkew_Y1,adjConv_W2,adjConv_M1,adjConv_W6,adjConv_M2,adjConv_M3,adjConv_M4,adjConv_M5,adjConv_M6,adjConv_M9,adjConv_Y1
20150102,38.77,38.755612661177615,38.75248260567978,38.76347434919653,38.76635225547899,38.76626588529119,38.768643553090996,38.76382851968792,38.69954167385091,38.363008726950206,38.3563677749557,0.17302415947856792,0.17088776052738688,0.169245843826557,0.17155015380492106,0.17496950415103193,0.17815009026828862,0.1813427920338057,0.18217348572065428,0.1823103065442002,0.18819996906622272,0.18489938799902433,0.18880152500168373,0.18997934321562365,0.19575402422868374,0.20268814046440528,0.2076278627450728,0.2117195160406254,0.2154720414687262,0.22394271429262588,0.22753379362627066,-0.027394557949829042,-0.035359932901681976,-0.039125104350126484,-0.04047027848637971,-0.03953479536704926,-0.04232366413902391,-0.04488547247334717,-0.046584877587996565,-0.048582936931829586,-0.0504025577910696,0.0,0.005568745582652737,0.013560666056342673,0.021188685434303307,0.023099218785626166,0.024275970698651672,0.019951243345675235,0.016257433015838985,0.01427201196854274,0.005784756759073286,-0.7646612856643059,-0.7021510623983198,-0.646258382395112,-0.5306169954125951,-0.39616807687613514,-0.363291256793454,-0.3375736537691283,-0.3116955983816891,-0.2525463879252781,-0.22596908975689206,0.0,1.5697572011762961,3.002613858136899,3.7474956337975316,2.3442540013609356,1.9105253593388456,1.278993567487465,0.742625215033263,0.39786199878194417,0.11627277085011448
20150105,38.08,38.115748688995694,38.1176471593369,38.11659787063039,38.11035032977576,38.1042251754448,38.10333296720885,38.10271000364232,38.03605824696091,37.751735684861444,37.76007157265587,0.20434362201786574,0.18833639177750577,0.1854315386478391,0.1865884894556787,0.18890880651860273,0.18919208031750318,0.18885163478078154,0.18775817777507736,0.18651395484208652,0.1912305608316341,0.21676687211619974,0.21048094930802427,0.21040617698201886,0.21402579001598,0.2181779194729595,0.2211881036908437,0.22329184500863924,0.22584582857922794,0.23162444918581732,0.23358168014212732,-0.021716032438089103,-0.0348440724640607,-0.03853252326375361,-0.04326423051606051,-0.0454981688728526,-0.046401142305314655,-0.04793705751144529,-0.049961055429325225,-0.05564918589559467,-0.053021347443163294,0.02833144359548334,0.02488741002126333,0.020067428047022863,0.016437904727284323,0.013326546374780852,0.013481577785095535,0.014907999291489149,0.01638168009702833,0.01876061364280304,0.009479569975017175,-0.5110329491514292,-0.6305597351815357,-0.5644618539975421,-0.5111933950152263,-0.42489379924581516,-0.37476460084376323,-0.34074083904204894,-0.3184133314607513,-0.2804629523954352,-0.23254738194405272,17.0836564107783,9.963679059885784,5.52377994638085,2.5002150730737016,1.1989995540869909,0.897188711434459,0.7714462401507143,0.6743703248131404,0.4898737528877545,0.18235178759220982
20150106,37.92,37.901939248170024,37.90287943496905,37.90759293574455,37.902442784370436,37.901555401556706,37.90540970546897,37.907840586675064,37.827007523779656,37.51894178793342,37.59557069886969,0.20224574519038713,0.19158620324583053,0.18957015475441483,0.18944215381096513,0.19063242715962553,0.19086277048587696,0.19066687498981327,0.19027388539357307,0.18931253030055048,0.1890284700692265,0.21985277932113165,0.21780467388585492,0.21847911373335147,0.22122035485016076,0.223645433533391,0.2261180602085304,0.22808032845291815,0.23062101645330588,0.23603534781730562,0.2373234561714001,-0.028456875368830434,-0.04350787616825768,-0.04363569566198502,-0.04553096838136626,-0.04631655854012121,-0.04791852390091051,-0.049583001225359885,-0.050973975201444637,-0.05372172496229581,-0.05630647676141392,0.01730340967792617,0.03991501266902546,0.014850612575121698,0.00835545701629931,0.011539251303458183,0.011879454971026833,0.011898111972558252,0.011325285458035728,0.008378045201671193,0.013551885328401828,-0.6536967416101167,-0.7896576502897251,-0.6205548783884388,-0.5228091094927392,-0.4209536397144838,-0.37887924958458774,-0.3445049288989556,-0.31939609090724913,-0.2650490094042952,-0.24343570697382894,7.599199536350988,17.83174661118565,5.564056006542556,1.0524318555915142,0.9739714124468168,0.7718148952007755,0.6011435840945347,0.4638492639044591,0.20054384142264214,0.2533095554299765
20150107,38.74,38.68806291496174,38.69173006668506,38.70861060530465,38.69851403953077,38.69684150561721,38.699562288447495,38.69895379185112,38.62561697964375,38.35309711597169,38.352402679295935,0.18418139499183422,0.1806665425583807,0.1775176949969113,0.17983191875990037,0.18104134776146802,0.1822532884980421,0.1833271853071492,0.18259539988856024,0.18119250640379567,0.18406846940449917,0.20080314759573648,0.20319911068536092,0.20425141725776255,0.20962379895553332,0.2141064647428441,0.21767884119806186,0.22023077212226463,0.22314427582405982,0.22892818432028889,0.23044393737887361,-0.028873280522612624,-0.03478519606896286,-0.04264001246462848,-0.04584869728397534,-0.045306679778230996,-0.046678967952934816,-0.048476845235909664,-0.05063585060666821,-0.0559329457642122,-0.056134351504434285,0.011930720873821575,-0.004522263825945929,0.012351690077460944,0.015073426529973958,0.014507610083963276,0.014806405308464563,0.011709903122742863,0.010269484163630362,0.010678688265921017,0.012186568381081125,-0.7405474636085376,-0.5937432829847825,-0.617749232912941,-0.5589647170291987,-0.4308836519162192,-0.3843264481579949,-0.3486189716456759,-0.3276059913585143,-0.2850573026332677,-0.2503220978832368,6.846823065229856,-1.3546366264613436,2.3704704839425803,2.461272008584674,1.3128848274755331,1.0858729938858773,0.6730212857128614,0.44224882281619343,0.2781933068082623,0.24233848574394815
20150108,39.4,39.397790905035606,39.4108731770507,39.40771399941371,39.40591420695619,39.41856775544026,39.4219864750355,39.41959631831035,39.31740423196815,38.98409291223403,39.05066637062768,0.17167500939429858,0.16745886436045448,0.16402729795796603,0.1666678837390613,0.16697739849554732,0.16796286190367007,0.16897181487658497,0.16696316402444059,0.1635778862843596,0.16795364829928766,0.1877847736450057,0.18649718987424418,0.18943035466785751,0.19436953645767455,0.2004790430816997,0.20479391350425064,0.20746151006309424,0.21050619016784622,0.21705223662088582,0.22038348998385643,-0.023596833581556932,-0.027604188051994195,-0.03695577032542385,-0.04114802552757006,-0.0421142479544889,-0.04449010044041509,-0.04735694365937776,-0.04958343602675868,-0.05194722012805389,-0.04783364477356432,-0.021695830008240633,0.031123087284127233,0.022426314832719178,0.021579329902257076,0.014653761333159297,0.015196952618594323,0.020427699294254874,0.02345099287928712,0.02065096200256735,-1.8869608316006707E-4,-0.6523500665548835,-0.5146498577976818,-0.5752659658569238,-0.5379728692494342,-0.42805924533441536,-0.3889938542195112,-0.36037639618285106,-0.34106424881195374,-0.2805225278188079,-0.2233888172662112,-15.085085100596299,11.123564469338255,5.632186172814107,4.024007655177215,1.6245922810005764,1.1452569474189378,1.1721230245434826,1.135339202852812,0.6398505834950465,-0.004115463885125623
20150109,39.27,39.28257123738343,39.30942331648617,39.299962953862796,39.290822579442455,39.29378638418339,39.298586326737365,39.30160285441898,39.21769036604277,38.94306168491989,38.95955117089809,0.16495662509156642,0.1651512936102667,0.1627369001799259,0.16480945407113104,0.16848297713672664,0.17030760118128094,0.17123395162174854,0.16869275400608716,0.16635625696468062,0.1747481766097219,0.17527174175258542,0.18120170598018476,0.18068593977578795,0.18793802366606535,0.19445934218549984,0.19949810599941695,0.20279398162985152,0.20670476154452366,0.21470500719185073,0.2182384391216382,-0.018942705584595296,-0.027822466760633244,-0.03461392516249899,-0.03862530152155238,-0.03953685855882586,-0.04169321893939909,-0.044139839752591455,-0.04660414138341617,-0.05189408084493105,-0.052863287476100196,0.0,0.008337901105269309,0.02227437827152817,0.015455696497532196,0.012847223362179683,0.014590269770779466,0.012577226277783371,0.011740012099586826,0.00994277977790493,0.00728413975737312,-0.5513567078020281,-0.5353591349780576,-0.5642816100260607,-0.5231174139403175,-0.4139762806427091,-0.37555241125230654,-0.34374618891843256,-0.3266927101795824,-0.2825532772032609,-0.24961370408464495,0.0,2.9501535817402242,5.92621237027692,3.534575151462751,1.372789710571864,1.2818335082664034,0.8279138634285127,0.6015966624735622,0.3033659453359882,0.16240776297875836
20150112,38.95,38.96546765786253,38.963920912840805,38.965574436983786,38.96142416211121,38.97399752716885,38.971571060921754,38.9661790482983,38.86764765570287,38.60462793881212,38.62249111180887,0.18642260409998687,0.17890063785450674,0.17802003680036219,0.17631940841175162,0.1753656373109234,0.17518300517598293,0.1751004475243151,0.17362108094180673,0.1722010583837197,0.17456424164583964,0.20440505679946513,0.20247097641764128,0.20030156427723783,0.20229341482983698,0.20472479795475976,0.20724951807210307,0.208881857087737,0.21244470329028323,0.21914669448100876,0.22118033646340599,-0.026807583938609603,-0.03598711391636541,-0.038364844378540076,-0.04041049242331561,-0.04211808730408854,-0.044836233991039975,-0.046459963708238954,-0.04840870698545548,-0.05191774869728717,-0.05258911691153289,0.02176394044245538,0.0024994761050666954,0.015332317539471896,0.014937854177012613,0.012090331437411193,0.013206047296889352,0.0143893146251999,0.013653951665581494,0.007625690062924356,0.00941635785967702,-0.7025338601411167,-0.6273825317156811,-0.5738327690222503,-0.5051027964819018,-0.4152531334831017,-0.38905498405005906,-0.349387130498722,-0.3315226769445733,-0.2770450748404663,-0.24608785453669005,17.325393845761557,0.37374251776930995,3.4947023554426395,2.512977465525914,1.2109334618319956,1.02499766153392,0.828365613532519,0.6900197558967798,0.21667909519964113,0.20619188020826087
20150113,39.29,39.29213647977297,39.29238414869337,39.28753667849522,39.293353107351955,39.28601911995802,39.28282244569717,39.280417333887534,39.202383754219056,38.92738633795432,38.738971990574264,0.18504277690082055,0.1730703606185514,0.16874840355141238,0.1670066064801397,0.16795397300071743,0.1692920057286113,0.17013161054401882,0.16921863944296675,0.16909276937583143,0.17204365372932817,0.20314158677882624,0.19698172713355067,0.19460866714487682,0.19550214187808843,0.20012887256510578,0.2037709764789199,0.20598674787212082,0.209353362404115,0.21595182211193062,0.2189827809715942,-0.022710651606980693,-0.034129088624885166,-0.03596739589923195,-0.04068629162462928,-0.0438075734940315,-0.04665183956833375,-0.048136445231847354,-0.051889709898373416,-0.056506861181287,-0.04344574056543583,0.002454152075609682,0.015212250849490365,0.014404237968594594,0.014786906585626817,0.010391908495696477,0.010955788861079384,0.01161527171103109,0.011978537397363815,0.012109728847220154,0.015510096569080834,-0.5955780588741195,-0.6138040406832596,-0.5546042820442773,-0.5210813550630711,-0.44123337277027863,-0.4131332507647743,-0.3666561151449346,-0.35849131848125476,-0.30960328131882897,-0.2056643324918447,0.9245796633975326,5.116226805127768,3.5203737964990514,2.5922642960858404,1.0979707762821471,0.8923298288504916,0.6870785120434136,0.6036035751075494,0.3540898188191963,0.3475666144033543
20150114,39.07,39.08395306203306,39.08719207175625,39.07870324094759,39.06955973182683,39.06513940378301,39.0626914505197,39.06026092539878,38.95136898595742,38.66220038001995,38.608324301603226,0.19707541409522844,0.1858740979718353,0.17723340796618015,0.17317538942404537,0.17242554921106146,0.17147528254987557,0.17085978416570682,0.17008099279122305,0.17030448198063705,0.1726750692297269,0.21823437262514309,0.21209655571130068,0.2076410828196167,0.20734493627360037,0.20797076412609591,0.21008504181174492,0.21142677894807277,0.21431138463022512,0.2198581890510991,0.22225229063195026,-0.0307595090275218,-0.036308075219665406,-0.041380647096900064,-0.04492378256204244,-0.047784738981481445,-0.05101795326295629,-0.052649971164814284,-0.05431006997804388,-0.05487272529417857,-0.051623139014671325,0.015551014475008427,0.012751890208814728,0.0049396287513012145,0.0045363946677785035,0.015278106246786521,0.016313554799613175,0.013884367667969568,0.013451185453304862,0.01142582447191078,0.011766073618159388,-0.7733271369704989,-0.5932936962446643,-0.6012762559772533,-0.5417653623113163,-0.46153964547642967,-0.4373368989056058,-0.38955143854140245,-0.36951726801628076,-0.2931424118031386,-0.24115872224296772,11.540169430996205,3.422957273417505,1.0816966488552235,0.7086765928100462,1.400549889607349,1.2978754927514387,0.7910933344053203,0.6522496784342036,0.3281573845497923,0.2567726078192047
20150115,39.16,39.177840792771526,39.16829874685549,39.17374211790273,39.16626354229161,39.14915312300032,39.1410844993499,39.133244702214405,39.01849145439177,38.769883603403905,38.80813702735603,0.20424207308138037,0.1918904376385019,0.1823167312211456,0.17881470806231925,0.17711404855813864,0.17532030682393349,0.17421556382072362,0.17249718850418644,0.17161203959417523,0.17417405154763185,0.23064166106712825,0.2156080583983513,0.2096049157182064,0.20947924613479763,0.2084545921308592,0.21136122962655837,0.2131517394481252,0.21624093460230823,0.2214979431894465,0.22318586390103284,-0.033721838009943245,-0.038510503625023645,-0.04000070319272821,-0.04567334856266825,-0.04588057043968652,-0.05007761387869143,-0.052995996557113775,-0.055760012748712305,-0.059086516256091966,-0.05635439936491175,0.023295832160950002,0.01293161837302146,0.024789217848549438,0.01255587790683127,0.017853183322713365,0.01719119610186894,0.01280769479420084,0.01428804236889241,0.016775967581508715,0.007830370258946468,-0.7480867782147634,-0.6203522672274487,-0.5767473046391774,-0.541729317869874,-0.44112325942567737,-0.4261883997160072,-0.3878323106825255,-0.3753313553030191,-0.31307313435421175,-0.2625736711313006,10.747100199397503,3.286070328011906,5.606723509949399,2.1312860617112315,1.6437048603164743,1.3924476067370244,0.7194219340996015,0.6485106090293759,0.49471968359715923,0.16999220212176788
