date,DBC~open,DBC~high,DBC~low,DBC~close,DBC~volume
20191231,15.95,16.0453,15.91,15.95,806115.0
20191230,16.16,16.18,15.98,16.05,976284.0
20191227,16.06,16.09,16.02,16.08,1250014.0
20191226,15.97,16.05,15.97,16.05,679206.0
20191224,15.86,15.95,15.86,15.93,466153.0
20191223,15.82,15.87,15.785,15.86,837521.0
20191220,15.84625760397269,15.895469584109248,15.799998342644322,15.8561,1043075.0
20191219,15.826488282703037,15.895384686918785,15.816645939243648,15.8757,961303.0
20191218,15.836427210460775,15.8462696139477,15.747845579078458,15.8069,1239449.0
20191217,15.74778816199377,15.816684735202493,15.74778816199377,15.797,834891.0
20191216,15.71825763454318,15.762548279098874,15.708415269086359,15.7281,1753308.0
20191213,15.550903591682422,15.728065784499057,15.531218903591682,15.6198,1167629.0
20191212,15.413149208359723,15.560784737175428,15.413149208359723,15.5411,1424226.0
20191211,15.452511821086262,15.462354185303516,15.309797539936103,15.4033,861656.0
20191210,15.413145801526719,15.496805916030535,15.398382251908398,15.4722,565345.0
20191209,15.393457635782749,15.437748274760384,15.373772907348242,15.4033,659836.0
20191206,15.295049138481174,15.472211869814934,15.295049138481174,15.423,1487900.0
20191205,15.33444238921002,15.373811946050095,15.275388053949904,15.3246,1011815.0
20191204,15.235945945945947,15.314684684684686,15.216261261261263,15.295,991195.0
20191203,15.029272941176469,15.117854117647058,14.989903529411764,15.0588,1801084.0
20191202,15.147423806409419,15.16218737737083,15.029315238718116,15.049,1310076.0
20191129,15.236020640104506,15.236020640104506,15.058857609405617,15.0687,546176.0
20191127,15.4328542893726,15.4426966709347,15.3245880921895,15.3738,583619.0
20191126,15.393445859872612,15.4623423566879,15.363918789808917,15.4525,481609.0
20191125,15.304845932094812,15.383584689301731,15.28516124279308,15.3639,474238.0
20191122,15.40326937860346,15.439095513132608,15.304845932094812,15.3639,846770.0
20191121,15.2852185659411,15.403327144686301,15.2852185659411,15.3738,598072.0
20191120,15.117891472868218,15.275369509043928,15.088364341085272,15.236,1007385.0
20191119,15.10799640052356,15.127779509816754,15.019415314136126,15.0391,548992.0
20191118,15.245796433203632,15.26548112840467,15.147372957198444,15.1769,688718.0
20191115,15.235976379974327,15.393454172015405,15.235976379974327,15.3344,2619506.0
20191114,15.344281483870967,15.363966258064515,15.230011369677419,15.2557,869147.0
20191113,15.216318585209002,15.319663569131832,15.196633826366558,15.3049,5073751.0
20191112,15.295084793814432,15.324611984536084,15.226188015463919,15.2754,450347.0
20191111,15.216288201160543,15.344238878143134,15.216288201160543,15.2655,612648.0
20191108,15.186737796284433,15.3639,15.12138462780269,15.3639,954353.0
20191107,15.393496724470136,15.413083078998074,15.304915221579963,15.3246,809374.0
20191106,15.462350706033376,15.52140487804878,15.308416164313222,15.3344,669344.0
20191105,15.511542349206348,15.541069396825396,15.467251777777777,15.5017,455814.0
20191104,15.491927180140038,15.531296753660088,15.442715213239973,15.4624,687591.0
20191101,15.176895451633568,15.40326937860346,15.176895451633568,15.3639,1221494.0
20191031,15.137612002609265,15.137612002609265,15.019503196347031,15.0884,761881.0
20191030,15.275323476005187,15.285165823605707,15.127688261997406,15.1769,971215.0
20191029,15.196660824742269,15.344296778350516,15.196660824742269,15.2754,549913.0
20191028,15.383639035369773,15.393481414790996,15.26553048231511,15.3049,538119.0
20191025,15.295003587443945,15.3639,15.226107174887893,15.3639,525285.0
20191024,15.245872809278351,15.314769587628867,15.236030412371134,15.2754,626799.0
20191023,14.98991049222798,15.216284715025909,14.98991049222798,15.1966,843652.0
20191022,15.05881180327869,15.117865967213115,14.980072918032787,15.0096,2162358.0
20191021,14.940688246881155,14.99974235062377,14.921003545633619,14.9899,726291.0
20191018,15.05881180327869,15.088338885245902,14.980072918032787,15.0096,1001222.0
20191017,14.950603211009176,15.049027195281782,14.921076015727394,15.0195,1415659.0
20191016,14.901345789473686,15.01453302631579,14.901345789473686,14.9604,599184.0
20191015,14.960384716732543,15.0095965085639,14.89640938735178,14.9407,1054799.0
20191014,14.950572864651773,14.98994237844941,14.881676215505912,14.9801,506414.0
20191011,14.9308914323087,15.078527141922827,14.9308914323087,15.049,1416897.0
20191010,14.8718,14.881642356055593,14.812647440105891,14.8718,655897.0
