date,TLT~open,TLT~high,TLT~low,TLT~close,TLT~volume
20191231,135.98388818275762,136.2334731768527,135.15526600236197,135.2551,10707518.0
20191230,135.66444365589822,136.67276721239585,135.43482542026018,136.5929,7979841.0
20191227,137.2119008447422,137.40158551558403,137.06214978881445,137.0921,7300695.0
20191226,136.68273159583,136.99221700080193,136.2833955894146,136.9423,5290981.0
20191224,135.69442683425896,136.83253488745981,135.66447662233264,136.6129,4667428.0
20191223,136.5829024184683,136.74133898460977,135.77424697691464,136.2235,5175177.0
20191220,135.90406305159166,136.46313361141603,135.70439499451155,136.4232,5455919.0
20191219,135.774280061552,136.63285271488243,135.5347782248846,136.2435,6591083.0
20191218,136.85390327544516,137.00341591558583,135.83721732248847,136.0266,6244828.0
20191217,137.76091794331396,137.89049553779068,136.76416721656977,137.1529,6179893.0
20191216,137.95031802017564,138.01012307134044,136.9834696930111,137.3423,9160997.0
20191213,137.67118947065595,139.1563478279632,136.78408145857307,138.5882,11335349.0
20191212,138.73774642415424,138.83203905158243,136.1661293124773,137.0034,14868125.0
20191211,138.84736221824687,139.68463274418602,138.77758967441858,139.2959,6257375.0
20191210,138.72781054377614,138.8972582215491,137.96031223856914,138.2095,4947745.0
20191209,138.5383952758745,138.658005373242,138.11975993508835,138.1995,4155592.0
20191206,137.58153968196604,138.66799826526926,137.4120920130105,137.9005,7931904.0
20191205,138.20949453709028,138.98696032202415,138.14968947671076,138.668,7274024.0
20191204,139.88404557939913,140.04352575107296,138.7577168669528,139.3458,8588810.0
20191203,139.585001402167,141.30938052545855,139.47535879895193,140.7512,13323804.0
20191202,137.69115236786928,138.21943027980623,137.50176972019375,137.8606,17705004.0
20191129,139.91980413046576,139.97950536960548,139.0839867825096,139.7208,6251071.0
20191127,139.89989752700396,140.20835391557702,139.72079381750993,140.0193,4096955.0
20191126,140.29784737476086,140.6063036349465,140.23814616311202,140.4272,4281650.0
20191125,139.60134979687837,139.8302044686765,139.48194735941843,139.6113,4157476.0
20191122,139.40240414581842,139.58150787705503,138.9844954395997,139.2034,4666026.0
20191121,138.94469833953622,139.38250747208704,138.42728754652163,139.0243,5981899.0
20191120,139.21333576813657,139.8999,139.0740328805121,139.8999,7909901.0
20191119,137.6810335369359,138.54670166714573,137.6810335369359,138.4671,7893300.0
20191118,137.5218041301355,137.91981239040652,137.24319834794582,137.3228,5944030.0
20191115,136.79539430894312,137.47200813008132,136.74564329268296,137.074,4657758.0
20191114,137.11384772677835,137.7506609527953,136.98449504024362,137.2233,10272804.0
20191113,136.12875635897436,136.27800943589745,135.48696812820512,135.8203,6751842.0
20191112,134.60639298038637,135.2729573110898,134.11684282259256,134.9447,5773630.0
20191111,134.7059078814815,134.71585808888887,133.96959253333333,134.3278,4578098.0
20191108,134.47700489215032,135.27302119931807,134.10884735008526,134.2382,10227217.0
20191107,135.67106798051373,135.6810181871863,133.78052871272513,134.8054,19214106.0
20191106,137.33270081171187,137.72075872590233,136.65608701261056,137.2929,9353012.0
20191105,136.53675145461173,136.7556560262486,136.04919127232952,136.4671,13496331.0
20191104,138.27800534208058,138.44715883497943,137.8401963016365,138.0193,11134604.0
20191101,140.02925350739895,140.56656464854865,139.0939341135458,139.8601,11425486.0
20191031,139.53660379495892,140.7255653178986,139.4869395709431,140.2915,15835800.0
20191030,136.8448768226177,138.51359565154993,136.8448768226177,138.4242,10914151.0
20191029,136.69588696032037,136.81508116490718,136.24890869311974,136.4277,5296576.0
20191028,136.65615120209824,136.65615120209824,136.07011304822967,136.3383,11402050.0
20191025,138.59301757146983,138.61288326595437,137.3812102079122,137.5898,5669966.0
20191024,138.74197655172415,139.298215862069,138.09634163793103,138.2652,6830080.0
20191023,139.0896063880126,139.3715004842271,138.42410587897908,138.5433,5999896.0
20191022,138.44403139084255,138.59203082173102,137.70403423640016,138.4043,6690041.0
20191021,137.6394313794846,138.05661086407278,137.29674823143003,137.5997,8189288.0
20191018,138.87115551654963,139.28833515546637,138.5135729689067,138.6427,6456407.0
20191017,138.58310290872615,139.4373278836509,138.36130240070207,138.6427,6558397.0
20191016,138.70228027444253,139.11945986277874,138.41422770154375,138.9804,8645282.0
20191015,139.72532168157423,139.99847490161,138.61284311270126,138.8115,12663622.0
20191014,140.52996570055137,140.55479782624062,140.13265168952353,140.5101,5937726.0
20191011,140.03327372543436,140.15246788664197,138.7718021859869,139.4969,28513340.0
20191010,142.15892202531649,142.2185191139241,140.7782561392405,141.2451,15057081.0
20191009,143.62892109456183,143.6388539383443,142.83429359196398,143.3806,8933140.0
20191008,144.84073487635186,144.94999616311912,143.64879356616382,144.1951,14540249.0
20191007,144.18524829396324,144.55276373808536,143.73827005111204,143.8078,11751551.0
20191004,144.37389793821492,145.04933137886155,144.22490526748405,145.0096,11936986.0
20191003,143.01311250345017,144.69176342809826,142.9535154292023,143.9468,13526957.0
20191002,142.49660731146855,143.30116782953834,142.27808470162245,142.6456,12896884.0
20191001,140.31143012704175,142.94363520871144,140.19223593466424,142.298,16869140.0
20190930,140.68163558848195,141.88141553676263,140.64197344143136,141.8715,8410379.0
20190927,141.1179628669516,141.767430725846,140.9394831500035,141.5245,10387398.0
20190926,141.06832910521143,141.78224768928223,140.69649650934122,141.1774,10775214.0
20190925,142.0499810984661,142.33753166749136,139.947887283523,140.2751,14520656.0
20190924,141.21711296231805,142.6300773350979,141.20719742285993,142.3574,12947855.0
20190923,141.0385903848865,141.94586196954742,140.50315141688986,140.6618,15402596.0
20190920,139.5810594967933,140.78083986186482,139.2538466699556,140.6916,13377236.0
20190919,139.57111876606683,139.79917614967155,138.78779123107685,138.8572,13434396.0
20190918,138.7480815857327,139.47191564245807,138.35146018478727,138.4407,11106841.0
20190917,137.19135907358125,138.4208855642667,136.8542308422643,137.8557,9287893.0
20190916,136.7153786520104,137.39955047729242,136.0950628637547,137.112,10971572.0
20190913,137.11200290024902,137.53837085835653,135.3867,135.3867,18922161.0
20190912,140.30487672018347,140.60234288990827,137.8901455097477,138.3416,19163308.0
20190911,139.2141378524637,139.9578031187696,139.2042223155796,139.2538,10941748.0
20190910,141.6335406070083,142.079739803824,139.47195338687894,139.5017,13851422.0
20190909,142.61517887569835,142.7837430167598,141.98058446229052,141.9905,15862660.0
20190906,144.0330765896152,144.79657286507995,143.8545969408053,144.5586,9466371.0
20190905,144.42969824537164,144.56851575020724,142.67464836280737,143.5373,19386357.0
20190904,145.29240143797057,146.373195251984,145.24282374008,146.1848,7962232.0
20190903,145.8476135724475,147.41426820188843,145.33200571972012,145.9666,15662954.0
20190830,145.11523101575233,145.97636089082022,144.86777990222708,145.7784,13550909.0
20190829,145.74869804400976,145.8377804400978,144.6401171149144,145.7388,8884955.0
20190828,147.26310837618402,147.3818849120433,146.15452737483085,146.2931,10088733.0
20190827,145.13499187046946,146.2138784635187,144.98652123839844,146.105,11332754.0
20190826,144.38280231822247,144.79852026552933,143.8087156290844,143.8879,12174799.0
20190823,142.05667810359003,144.77863925733078,141.96759573855851,144.4718,16194116.0
20190822,142.5318217270195,143.2246847493036,142.01712348189415,142.1359,13880305.0
20190821,143.24446867736577,144.30355920724955,142.81390383577752,143.0861,9372115.0
20190820,143.79874895897754,144.1377568851783,143.363235126778,144.0462,7451608.0
20190819,142.10619201610666,143.18507861705083,142.0517527839489,142.5714,13615286.0
20190816,144.57081370013,145.01622562786557,143.36325247382467,144.6401,17649776.0
20190815,144.46196588826282,147.08494779716244,144.09573822551081,145.8081,23732522.0
20190814,143.68000367904455,144.24033193808773,143.234591708422,144.2046,15068949.0
20190813,142.3437395634475,142.4443036684447,140.50270378298708,141.0273,16099485.0
20190812,140.2750448066028,141.9676099111702,140.06867064034415,141.5123,14094307.0
20190809,139.2357787004641,140.10680653338093,138.44393521599426,138.6221,10625972.0
20190808,137.72133320031352,138.998180403335,136.57316052162759,138.8992,14745985.0
20190807,140.94813625651648,141.60140711276156,138.354848918089,138.6023,32582045.0
20190806,136.790948421203,138.5528,136.67712093156166,138.5528,12747356.0
20190805,136.73154298264564,137.47389608266724,136.2564369986318,137.4541,18542993.0
20190802,134.27686625155667,135.1182,134.019517104974,135.1182,15143050.0
20190801,132.02996636847553,134.00957453053377,131.90129183794173,133.8809,26665016.0
20190731,130.10332703739934,131.7135656332305,130.06381197983293,131.2789,15798745.0
20190730,130.39973905787755,130.49852673898198,129.83664927558218,130.2318,5678475.0
20190729,130.2218416242111,130.35016674351763,129.8019942361798,129.9156,6231836.0
20190726,130.10331155396668,130.18234165969423,129.65876720924928,129.8761,6188692.0
20190725,129.65880889752972,129.8168691598048,128.92778018450747,129.5699,8893057.0
20190724,130.00450352834056,130.2979027498293,129.87114024584568,130.1922,6389664.0
20190723,130.00459320225573,130.14289596098155,129.3772914037494,129.6292,8108940.0
20190722,130.8639744429286,130.88373196907685,130.1466774561164,130.3404,5204504.0
20190719,129.99471231680462,130.33059043966892,129.91074278608855,130.0935,5804843.0
20190718,129.8761254469697,130.71582048484848,129.64891384848485,130.3997,5725713.0
20190717,129.4710749905296,130.41785568846126,129.4611962269869,130.3898,9662156.0
20190716,128.59187067697962,129.01665752795222,128.37947725149334,128.9969,6172721.0
20190715,128.8685041612583,129.4612301290372,128.8685041612583,129.3822,6055917.0
20190712,128.34493699892488,128.86851163415756,128.1078465980648,128.6413,6992095.0
20190711,129.718066894749,129.81685454755132,128.18685827631276,128.4931,14126804.0
20190710,130.74549594174312,130.82946547068192,129.91567942046572,130.2318,9470193.0
20190709,131.0714451719976,131.10108146499698,130.55774942667472,130.9529,6216115.0
20190708,131.43696565115752,131.60490465274108,131.0023,131.0023,6489997.0
20190705,130.9331664275466,130.94304519368723,130.07371377331418,130.8245,12180126.0
20190703,131.90126524104016,132.6619301169808,131.89138647641752,132.5829,5380269.0
20190702,130.962765330932,131.77282392315772,130.85409893441394,131.6444,10495462.0
20190701,130.96279927404717,131.1406170598911,129.99566809437385,130.6368,14141551.0
20190628,130.71553447782546,131.20850300429186,130.58322172532186,130.9423,8149205.0
20190627,130.4492972911964,131.21832799097066,130.13379751693003,131.031,9724166.0
20190626,130.81411523831176,130.83383397741912,130.02536567401683,130.1141,12766810.0
20190625,130.92252190182202,131.21830288360187,130.85350633940672,130.9521,9604623.0
20190624,130.30141578430633,130.66621242353298,130.22254083528435,130.5479,6378869.0
