date,LQD~open,LQD~high,LQD~low,LQD~close,LQD~volume
20191231,127.68067136605188,127.92005392310097,127.56098008752734,127.6308,5499445.0
20191230,127.57091804809713,128.16937427037124,127.4462396684567,128.1594,9993813.0
20191227,128.01976843910808,128.06624854202403,127.93,127.93,8752092.0
20191226,127.71060290443471,127.77044854778262,127.47122033104309,127.7505,3879905.0
20191224,127.23184603832618,127.63081701994525,127.17200039108332,127.5211,2638011.0
20191223,127.47119417475727,127.52605266990291,127.14204320388349,127.3914,3827501.0
20191220,127.30167717374275,127.40141992793357,127.15555403885321,127.3316,8336921.0
20191219,127.24183441660139,127.51113985904463,127.17201448707908,127.3715,9307038.0
20191218,127.34528072863732,127.44476145727467,127.14631927136269,127.2458,10205484.0
20191217,127.55425771875001,127.68169259953125,127.305555765625,127.3354,10886787.0
20191216,127.57417311475412,127.64380967213116,127.3055749648712,127.4349,8062586.0
20191213,127.37521719760106,127.7930365604798,127.03698247527066,127.7234,12474062.0
20191212,127.4249482047664,127.46474052210725,126.50475086625903,126.8977,10374990.0
20191211,127.21600193523214,127.62387307062035,127.16626155286772,127.4846,4414101.0
20191210,127.1563173051312,127.26574614962789,126.8641422903251,126.9872,6425455.0
20191209,127.31548653349,127.32543461026242,126.95735576968272,126.9872,4545298.0
20191206,126.70865768778883,127.1961134644004,126.63902114827287,127.0071,6149452.0
20191205,127.01701155472054,127.1861288163457,126.80810199624237,127.0767,5700604.0
20191204,127.18615577103535,127.35527306850173,126.79818079449483,127.216,11177560.0
20191203,126.97722892620068,127.50447689964855,126.8479039515814,127.3851,9406824.0
20191202,126.4102,126.4897846069096,126.13662791374834,126.4102,15142038.0
20191129,127.16824241619132,127.2426504219739,126.83092612331016,126.9599,5260890.0
20191127,126.97969447087264,127.2674053185682,126.96977340715901,127.2178,7264021.0
20191126,127.03919982064878,127.31698955864005,127.01935769650653,127.2277,8688791.0
20191125,126.6324313345321,126.96974743178798,126.62251027284809,126.9003,6808610.0
20191122,126.41419468110145,126.50348425511886,126.2256944692869,126.4638,5466561.0
20191121,126.16620533354312,126.2951792007552,126.00746826620517,126.1166,8425713.0
20191120,126.40427893580284,126.53821330246427,126.30506829383141,126.4142,5424843.0
20191119,126.07686299905691,126.27528425023579,126.03717874882115,126.2356,4118845.0
20191118,126.03720532325381,126.1661791637137,125.90823148279392,125.9876,10070010.0
20191115,125.73956829325975,125.9874956888451,125.60067339377217,125.8487,5411935.0
20191114,125.64039971615549,125.90826854056611,125.64039971615549,125.8289,10163610.0
20191113,125.23362640088769,125.34275813584846,125.1145735991123,125.1741,10480159.0
20191112,124.86647893858742,124.97561061412567,124.61845240327321,124.8764,9936607.0
20191111,124.96177395149107,124.99352136143142,124.66811040954275,124.7574,4749642.0
20191108,124.866515965317,125.17406896030548,124.7177,124.7177,6262271.0
20191107,125.32292697807435,125.44197979027645,124.74750505243088,124.8864,14954703.0
20191106,125.51134180657365,125.89330265232127,125.50142074564515,125.8685,8621661.0
20191105,125.3426790900444,125.56094242232088,125.0252051521877,125.1641,10433653.0
20191104,126.02412017590039,126.17611089920405,125.84871573804082,125.8884,10222755.0
20191101,126.37446833477135,126.82091605616127,126.29509985096871,126.4836,11367925.0
20191031,126.0630714822645,126.43905427139613,125.91465722339676,126.3599,18151487.0
20191030,125.12307452339687,125.66725996533795,125.09339168110918,125.598,12262741.0
20191029,125.42983995572773,125.53867708119219,125.14290571586687,125.1528,9236668.0
20191028,125.45951143352784,125.59803139883299,125.38045611047154,125.4793,9081556.0
20191025,126.13233996855347,126.13233996855347,125.68709716194968,125.8553,6263049.0
20191024,125.92448581855281,126.21141990268404,125.92448581855281,126.0729,9207055.0
20191023,125.96410279219758,126.02208328409627,125.74642859053013,125.7959,4986108.0
20191022,125.894802738648,125.91459129613601,125.53366156449204,125.7266,5830038.0
20191021,125.5584714229405,125.65741426882146,125.45952857705953,125.509,6457701.0
20191018,125.7959,125.9937856378795,125.70685146295422,125.7959,6061351.0
20191017,125.47929147897307,125.84537993384785,125.37045437076705,125.6376,5847498.0
20191016,125.40013430599369,125.56833710567824,125.17256581230285,125.4595,7793461.0
20191015,125.7068770724775,125.7068770724775,125.23195144481288,125.321,13251274.0
20191014,125.55845716535433,125.70687141732283,125.36057149606299,125.6574,2276490.0
20191011,125.15275147732659,125.42979132564386,124.72195451319324,125.2418,11061451.0
20191010,125.79591133191387,125.8552770286255,125.32326144326156,125.4694,7962230.0
20191009,126.42917427093133,126.42917427093133,125.9375272471778,126.2115,9929472.0
20191008,126.55777131205396,126.63692557446474,126.12737001019528,126.162,8635497.0
20191007,126.55773411690957,126.64678263595047,126.26090572010656,126.2708,7168137.0
20191004,126.676537148203,126.914,126.59738286427067,126.914,9257941.0
20191003,126.0828771567246,126.56769713480507,126.0828771567246,126.3896,13985696.0
20191002,125.90469427852877,125.99878886733732,125.62795130807922,125.8948,11377018.0
20191001,125.22201750333883,126.31038838871866,125.22201750333883,125.9443,13299755.0
20190930,125.28754998431127,125.83030480859745,125.18886728898651,125.8007,10769736.0
20190927,125.47501440264443,125.54409227136786,125.25791252951362,125.3862,8627841.0
20190926,125.51449227741477,125.59343841612217,125.32699519798471,125.3566,8377583.0
20190925,125.60335007888922,125.68229624487219,124.96191248027768,125.0902,14352307.0
20190924,125.73162211327268,125.9684605820521,125.61320287888297,125.8007,12638692.0
20190923,125.71191643059491,125.89447946175639,125.37639518413599,125.406,9526688.0
20190920,125.0211230007077,125.55400962491154,124.89283548006605,125.4948,10406194.0
20190919,124.7447509263658,124.94408990023753,124.54738560570071,124.6362,9042833.0
