date,EFA~open,EFA~high,EFA~low,EFA~close,EFA~volume
20191231,69.19,69.48,68.97,69.44,20142097.0
20191230,69.76,69.77,69.1,69.12,24068977.0
20191227,69.84,69.85,69.59,69.64,16281620.0
20191226,69.35,69.54,69.27,69.52,8372029.0
20191224,69.28,69.28,69.16,69.22,5946978.0
20191223,69.24,69.33,69.18,69.29,21313752.0
20191220,69.29,69.32,69.16,69.18,36135870.0
20191219,68.9875,69.15,68.93,69.13,25939214.0
20191218,69.1499,69.205,69.01,69.13,18590907.0
20191217,69.3,69.4,69.22,69.22,28111107.0
20191216,69.6,69.71,69.51,69.62,34004623.0
20191213,68.79340206718348,69.20877338501293,68.63516537467702,68.8923,46988368.0
20191212,67.88355108412836,68.48682856316853,67.84399190517489,68.4176,30690835.0
20191211,67.63633662689173,68.03192859429569,67.61655702852154,67.9627,16108857.0
20191210,67.50770210649503,67.74505705090696,67.38902463428906,67.6066,23419017.0
20191209,67.81435518805795,67.92314298258452,67.577,67.577,21946154.0
20191206,67.86377143689039,67.9527795894599,67.78959797641579,67.933,23179576.0
20191205,67.48792642867637,67.48792642867637,67.21101231085647,67.3198,21039738.0
20191204,67.25060410557185,67.45828979472141,67.19126533724341,67.4484,21762240.0
20191203,66.48905735424682,66.87475915951465,66.2813717667949,66.8352,28464655.0
20191202,67.34952454666076,67.38908373875866,66.78580605926581,67.0825,38855444.0
20191129,67.46815916691111,67.58683666764446,67.38904083308888,67.4286,11587154.0
20191127,67.8142918875619,67.9329693708127,67.77967762161376,67.9033,16941646.0
20191126,67.65607145151868,67.78463875584113,67.60662248831775,67.7253,24275969.0
20191125,67.52754483362523,67.7649,67.52754483362523,67.7649,19329050.0
20191122,67.30991832892028,67.35936728449543,67.07256334215946,67.2308,14969272.0
20191121,67.12201833603777,67.15168771205192,66.87477353591976,67.0429,14293408.0
20191120,67.19123874484384,67.34947539776076,66.92915928845021,67.1319,20655197.0
20191119,67.84400409896061,67.86872859025031,67.46819183135703,67.5572,18664801.0
20191118,67.48796327485378,67.70553877192981,67.37917552631576,67.6462,20587473.0
20191115,67.30007545374707,67.5671,67.29513055474239,67.5671,23494589.0
20191114,66.99918919487406,67.18135916924437,66.9143347768449,67.1418,17870854.0
20191113,67.09234500587544,67.36609443243243,67.07256542303172,67.3297,21450061.0
20191112,67.52754080796254,67.70061227312647,67.42864282786886,67.5671,18570140.0
20191111,67.27037557475472,67.55717958705522,67.26543067799092,67.5374,8543981.0
20191108,67.4286041532612,67.6264,67.28025726820708,67.6264,10298803.0
20191107,67.83412657117802,67.88357556270097,67.63633060508623,67.666,21271515.0
20191106,67.55719796217564,67.62642653569857,67.35989652763524,67.4583,16596704.0
20191105,67.53744900351701,67.5967878077374,67.3643774912075,67.488,15727265.0
20191104,67.72528769928331,67.77058294134855,67.47804292818488,67.6165,20429921.0
20191101,67.10227344898558,67.2704,67.05776936195237,67.2704,32338628.0
20191031,66.62755102343519,66.677,66.37041634529814,66.677,22047932.0
20191030,66.49894714412548,66.8352,66.18247386800829,66.8352,22592913.0
20191029,66.32094499257059,66.58796937592868,66.29127561664191,66.5583,15251904.0
20191028,66.38030409982176,66.59787959001784,66.37041430481284,66.5781,16265120.0
20191025,66.0242653536258,66.33084897045659,66.01437555953447,66.2814,17184196.0
20191024,66.33087758028378,66.34076737864076,66.08363262135921,66.2122,23619883.0
20191023,65.86603471494838,66.0935,65.78691635493043,66.0935,14206222.0
20191022,65.94518579810442,66.17265119602828,65.72761020009025,65.7375,21757598.0
20191021,65.97481835509531,66.01437753264297,65.85871216899297,65.8957,29776585.0
20191018,65.48036120416478,65.65283930405916,65.2825652180474,65.5397,21446128.0
20191017,65.74731619909502,65.79182024886879,65.40117358974358,65.5693,26986854.0
20191016,65.2924224674932,65.55944691563352,65.24297349561536,65.4111,28612748.0
20191015,64.83748988491824,65.51988567534828,64.78804091459722,65.3122,24972130.0
20191014,64.52104080882351,64.68590373805146,64.48148161764706,64.5606,12661983.0
20191011,64.64958370709383,65.09462443935927,64.64958370709383,64.8276,37733935.0
20191010,63.21558968944099,63.71996939440994,63.176030496894406,63.6903,25316641.0
20191009,63.21553063330727,63.37376725566848,63.067183799843626,63.2452,22989535.0
20191008,63.057324429043945,63.10677339738542,62.74085103165853,62.7903,28197535.0
20191007,63.41336938679981,63.69562415322202,63.37381020440005,63.3837,19227966.0
20191004,63.017759326788216,63.49246937821412,62.97325525946704,63.4628,19269604.0
20191003,62.562818564473055,62.98807958222082,62.28590441338149,62.9683,39613325.0
20191002,63.02760975494071,63.07705868774704,62.40455320158103,62.5529,44563482.0
20191001,64.30344073098962,64.35288970109958,63.749612265758095,63.8584,42555667.0
20190930,64.25394511577979,64.51602446710628,64.23416554209477,64.4913,25423487.0
20190927,64.47157549638295,64.57541834692937,64.1204877635832,64.254,20607411.0
20190926,64.58038778953826,64.62983678478294,64.36775710998619,64.4716,25197227.0
20190925,64.07596332563512,64.33309792147806,63.84849810623557,64.2342,21345948.0
20190924,64.82758143997543,64.88692018728891,64.38254083512435,64.4221,32233051.0
20190923,64.48149380639242,64.71884899831778,64.41226520874751,64.6694,15496953.0
20190920,65.06496529896279,65.1688081528371,64.7583816351434,64.8375,35577471.0
20190919,65.10447746157358,65.21821002891492,64.96107552883885,64.9858,19014048.0
20190918,64.68918160024431,64.85236329974042,64.39050964116659,64.7683,17827646.0
