date,IYR~open,IYR~high,IYR~low,IYR~close,IYR~volume
20191231,92.47,93.18,92.27,93.08,6703008.0
20191230,92.21,92.7425,92.03,92.54,6634397.0
20191227,92.3,92.63,92.16,92.47,4802752.0
20191226,91.84,92.22,91.7,92.22,3042648.0
20191224,91.78,91.91,91.41,91.73,2597637.0
20191223,92.32,92.42,91.43,91.48,5863117.0
20191220,91.71,92.33,91.54,92.0,11474626.0
20191219,90.56,91.47,90.47,91.43,5837708.0
20191218,89.59,90.83,89.59,90.68,7373344.0
20191217,90.55,90.68,89.45,89.52,5680018.0
20191216,89.92,90.56,89.39,90.29,9229091.0
20191213,89.77881682119205,90.09570653421635,89.0460093598234,89.7194,8506746.0
20191212,90.85824798364821,91.15533217324052,89.4916607115236,89.6303,12400637.0
20191211,91.68014380111221,91.82868583578673,90.53637013411843,90.8186,10751440.0
20191210,92.36338458049886,92.4921209372638,91.51669546485262,91.7098,7777379.0
20191209,92.17527478802188,92.4327476226253,91.83362814210582,92.2644,4989229.0
20191206,91.84853543772854,92.55163473865348,91.82872982361799,92.0763,5488454.0
20191205,91.66032717086836,91.9574112044818,91.39542724089637,91.9178,8041997.0
20191204,91.29394580547768,92.17529532025016,91.20482057364676,91.8386,8346603.0
20191203,90.85822337085949,91.61083644728296,90.79880654903658,91.4821,8011814.0
20191202,92.19505826617295,92.26190215911568,90.90769440209105,90.9275,15928921.0
20191129,92.64069801502146,93.05661563304722,92.26439159871245,92.2941,5384555.0
20191127,92.31393271988016,92.77936447678151,92.04655702974534,92.5516,6540119.0
20191126,91.30383104336626,92.38323642121082,91.24441423357663,92.2545,8516971.0
20191125,90.99685515480716,91.6108289299294,90.95724394350896,91.1553,6355391.0
20191122,91.35335696368197,91.36325976660487,90.33336826262406,90.7988,6332171.0
20191121,92.12579168387869,92.23472253505817,91.0959,91.0959,9731622.0
20191120,92.42281678996461,92.6901923448054,91.98709366355742,92.3634,5369464.0
20191119,92.48222797727516,92.67038113409797,92.18514404544966,92.3832,4940500.0
20191118,91.86828794676397,92.67041485456691,91.80887113877856,92.2644,5443551.0
20191115,91.38308499298739,91.80890561009818,91.18007748948108,91.7891,5708094.0
20191114,90.83836848156182,91.3038,90.64051057223426,91.3038,5279268.0
20191113,89.95702367989506,90.78885877336833,89.91741248496776,90.5809,6769898.0
20191112,90.50168476799294,91.03643594180537,89.7589748043646,89.8481,6295088.0
20191111,90.21452435153769,90.7294700448725,90.21452435153769,90.4819,3298677.0
20191108,90.30360839183852,90.81855385037296,90.06594125713032,90.2739,6038547.0
20191107,90.90773174203439,91.1652046206066,90.13036170480675,90.4423,8693647.0
20191106,91.2344776163106,91.69000632252468,91.07850854842208,91.3137,6810234.0
20191105,92.24463954753101,92.55004209005874,90.70970458994996,91.0464,14543354.0
20191104,93.13586539696126,93.26460184035952,92.4030579499251,92.5516,7240956.0
20191101,93.45275045121564,93.80925135364689,92.49217857522031,93.2745,11384191.0
20191031,93.73000922978994,93.78447463399108,93.00710477402929,93.3438,6590912.0
20191030,93.0467708959966,93.5023,92.51201933912307,93.5023,7247152.0
20191029,92.7892439829606,93.40321763578274,92.56147956336528,92.9873,6421622.0
20191028,93.09622038897201,93.18534558666381,92.49214960461637,92.6704,5431196.0
20191025,93.78947396110107,93.92811324264002,92.9972494951642,93.1755,5311431.0
20191024,94.46279234167893,94.46279234167893,93.77949926362297,94.136,4463544.0
20191023,94.29451122084471,94.29451122084471,93.47257838831688,94.2549,5087849.0
20191022,94.62123992635455,95.06686586007365,93.92804402945818,94.1261,5973784.0
20191021,93.6507788066275,94.4430027999161,93.60126480704697,94.4331,7276449.0
20191018,92.93777046582865,93.87853638956373,92.89815926903982,93.7498,7524292.0
20191017,92.61098798977852,93.15564200383304,92.5218627874787,93.0071,6013801.0
20191016,92.36346353319057,92.4922,91.85842047109207,92.4922,5247404.0
20191015,92.45250838958533,92.61095313404049,91.87814619093538,92.4228,5582727.0
20191014,92.67038394082333,92.88824549742709,92.07621605917667,92.3733,8358087.0
20191011,92.61097276431481,93.11601549431695,92.30398600686252,92.3535,6804505.0
20191010,92.15542449373191,92.62085593056895,91.85338919961426,92.4228,4734596.0
20191009,92.3634336231884,92.64071207729468,92.04654396135267,92.2446,4839756.0
20191008,92.37332040926226,92.7199184168013,91.59099919224556,91.9475,5090413.0
20191007,92.23464686595949,92.9476482160077,92.13561890067503,92.4228,7241031.0
20191004,92.36341041777968,92.72981399722192,92.22477122555829,92.6803,10803202.0
20191003,91.20482242990653,92.36345046728971,91.05628037383177,92.1852,10366190.0
20191002,91.69001194272698,91.76923433127237,90.68982928734135,91.2939,6916270.0
20191001,92.3534986925986,92.75951343057808,91.57117761210158,91.6504,17022811.0
20190930,92.37332717553987,92.91778317126362,92.27429916613214,92.6308,6173100.0
20190927,93.05661845691598,93.12593806202383,91.69003195621849,92.2842,9394851.0
20190926,92.48229621373719,93.07646451578496,92.2842401130546,92.8487,5250042.0
20190925,91.95746070967743,92.35852437096776,91.70989054838711,92.0961,8321162.0
20190924,92.44261750780157,92.62334356773916,91.66029648122243,92.0267,7225678.0
20190923,92.08190465265182,92.52928603670901,91.845923263259,92.1409,5251349.0
20190920,92.17045358555093,92.43593280966122,91.73782077588972,92.0033,8492434.0
20190919,91.88527903001815,92.35724193996369,91.71812549941245,92.0426,5704762.0
20190918,92.14089062902534,92.39653710820095,90.89215590382139,91.6001,8471265.0
20190917,91.285483623917,91.95409767889613,91.1379952294363,91.9246,10469500.0
20190916,90.11539765354671,91.01999302551901,89.96790927768166,90.9315,6522827.0
20190913,90.57758876993664,91.39369166484596,89.84014639501856,90.0073,12695147.0
