date,EWJ~open,EWJ~high,EWJ~low,EWJ~close,EWJ~volume
20191231,59.02,59.26,58.95,59.24,5113913.0
20191230,59.54,59.55,59.0116,59.05,6503213.0
20191227,59.74,59.79,59.525,59.58,3741863.0
20191226,59.61,59.705,59.57,59.69,3554289.0
20191224,59.57,59.62,59.49,59.53,3726860.0
20191223,59.68,59.81,59.63,59.77,3941926.0
20191220,59.84,59.91,59.76,59.82,6446212.0
20191219,59.78,59.96,59.78,59.86,3727530.0
20191218,59.84,59.92,59.79,59.92,5190035.0
20191217,60.12,60.28,60.052,60.16,8097425.0
20191216,60.07,60.31,60.07,60.29,7287589.0
20191213,59.70105537625556,60.03706528898403,59.63187686481147,60.0173,12498610.0
20191212,59.434146838368825,59.977691579990086,59.4044989433713,59.8591,7777390.0
20191211,59.48359932141675,59.77513714829527,59.46383404501821,59.7109,5530082.0
20191210,59.60216526787195,59.75534609387958,59.48357366064023,59.5824,11144179.0
20191209,59.80975285145889,59.8789313494695,59.592334714854104,59.6121,3941428.0
20191206,59.79986038575667,59.98763056379822,59.79986038575667,59.9481,10341516.0
20191205,59.404556978489246,59.404556978489246,59.21184547273637,59.2662,6626418.0
20191204,59.33539505065603,59.5034,59.28598183026075,59.5034,6190073.0
20191203,58.396481491434336,58.87578921733289,58.25812462210279,58.8412,6336889.0
20191202,58.8510832068791,58.86096584049907,58.24330123925139,58.6139,14858558.0
20191129,58.692969459868756,58.791795810196874,58.67320418980313,58.7325,3708746.0
20191127,59.22662156666667,59.30568263333333,59.2068563,59.2958,6895536.0
20191126,59.1080215764863,59.216730527722106,59.03884315297261,59.1772,5536858.0
20191125,59.12786033677893,59.2761,59.108095048349455,59.2761,6873308.0
20191122,58.8511347154608,58.920313211347995,58.73748432936042,58.8709,3920190.0
20191121,58.81153473878716,58.85106526121283,58.64353001847808,58.8313,3170553.0
20191120,58.81153051958971,58.96471128299983,58.5545821422566,58.772,7449263.0
20191119,59.048726320201176,59.088256848281645,58.79177788767812,58.9499,3974657.0
20191118,58.979577807486635,59.15746527406417,58.88075143716578,59.1377,4329695.0
20191115,58.880764576016055,59.0883,58.87088193677872,59.0883,5070558.0
20191114,58.515099327052496,58.752282637954245,58.51015800807537,58.7424,6197113.0
20191113,58.68305584589615,59.04871314907872,58.68305584589615,58.9993,7290509.0
20191112,59.2069,59.3304330078451,59.088308312468705,59.2069,4600441.0
20191111,58.83133409166946,59.11793054533289,58.83133409166946,59.0784,2578316.0
20191108,58.97953425663274,59.23648262973469,58.860942699816455,59.2266,7107866.0
20191107,59.374891661107405,59.44407013008673,59.236534723148765,59.2563,9191198.0
20191106,58.93016527428285,59.01416768998491,58.83133890286865,58.9104,13578882.0
20191105,59.048782641446266,59.137726414462676,58.890660378305995,59.0389,7783228.0
20191104,58.90050419041234,58.97956526986256,58.82144311096213,58.9598,8213172.0
20191101,58.554617364157956,58.73250480931489,58.47861989453257,58.5645,7105029.0
20191031,57.89247365371507,57.9913,57.66517305725972,57.9913,7279216.0
20191030,57.823277893301515,57.99128263166865,57.59103604908812,57.9814,6798718.0
20191029,57.70470837463682,57.8529479063408,57.68494310374295,57.8233,5894787.0
20191028,57.38843003776176,57.595965259182975,57.37854740817028,57.5762,5258533.0
20191025,57.21054739197797,57.46255446720606,57.18089950077466,57.4082,4452862.0
20191024,57.41813472126635,57.46260659841707,57.230364573296626,57.4379,4457124.0
20191023,57.269843174384576,57.50702630401101,57.24019528318127,57.4082,7912230.0
20191022,57.2699264477096,57.39840082973207,57.131569420916165,57.1711,6971342.0
20191021,57.111782641052265,57.220491692627206,57.062369435790934,57.1019,4249473.0
20191018,56.59787360990065,56.785643751089424,56.5122899560746,56.6967,5311167.0
20191017,56.854813187195546,56.94375692414753,56.61762988865692,56.8054,4833612.0
20191016,56.83500843310775,57.003013152871766,56.790536595523164,56.9536,4210800.0
20191015,56.69665998268398,57.190791584415585,56.676894718614726,57.0722,8766632.0
20191014,56.192669455184536,56.380439543057996,56.172904182776804,56.2322,2334108.0
20191011,56.23223394575678,56.72636605424322,56.19270337707787,56.4793,14407390.0
20191010,55.57008193091231,55.90609167404783,55.520668733392384,55.7875,7978373.0
20191009,55.80728678343948,55.906113216560506,55.678812420382165,55.8567,4709990.0
20191008,55.60958322327325,55.71829220060682,55.35757604854542,55.3724,6914461.0
20191007,55.787443665720374,56.014744144783535,55.68861737047552,55.6985,5438933.0
20191004,55.540403032440054,56.07406526798307,55.530520398448516,56.0543,5242473.0
20191003,55.095655876582846,55.42178262885679,54.87823804173355,55.4119,9285711.0
20191002,55.49097472665352,55.49097472665352,54.982019214913066,55.1352,8255103.0
20191001,56.11359638874137,56.123479022835895,55.708408390865635,55.827,8235507.0
20190930,55.6590291152626,56.0741,55.58985063447303,56.0741,5382920.0
