date,EMB~open,EMB~high,EMB~low,EMB~close,EMB~volume
20191231,114.02446071927373,114.23371648044692,113.95470879888268,114.154,1120366.0
20191230,114.1041417721519,114.19382278481012,113.93942764556964,114.144,1572213.0
20191227,113.95464692347917,114.3333,113.95464692347917,114.3333,1828374.0
20191226,113.89486078825482,114.02938227737481,113.71549880276152,114.0244,731494.0
20191224,113.57602782882647,113.934851548963,113.52630468626936,113.865,680069.0
20191223,113.55608987463839,113.74541645480846,113.49630253353206,113.6657,1556316.0
20191220,113.38673159557663,113.5362,113.33690879410216,113.5362,3204864.0
20191219,113.1475898293155,113.5262431462256,113.1475898293155,113.2572,5080454.0
20191218,113.52408755349812,113.69283018604246,113.47445736745566,113.6432,4040275.0
20191217,113.21635326857444,113.5103624202328,113.1567970595957,113.4248,2704401.0
20191216,112.96819586297762,113.0674562055336,112.91856569169963,113.0079,3503527.0
20191213,112.69024918263315,113.00788222886271,112.5215066268237,112.9384,1843681.0
20191212,112.63068635321102,112.63068635321102,112.35275745412845,112.5215,4475364.0
20191211,112.0649284516983,112.5116,111.86640776356418,112.5116,2229060.0
20191210,111.92591648312612,111.93584251332149,111.73732190941385,111.7671,2367503.0
20191209,111.71746984902309,111.92591648312612,111.6082835168739,111.7671,2542521.0
20191206,111.25102717720391,111.54880829919857,111.190478349065,111.4694,2503199.0
20191205,111.05250529133578,111.35028641027931,110.95324491835461,111.2411,3857288.0
20191204,111.02268637014498,111.22120704313586,110.87379586540183,110.9135,2499729.0
20191203,110.53628762109796,110.7049308975601,110.44695333692142,110.6554,2708465.0
20191202,110.78451133381269,110.89369775301095,110.35769169512852,110.4371,4050081.0
20191129,111.0624163396361,111.082195932929,110.8052816268284,110.8844,2158491.0
20191127,111.28007765124555,111.29985725978648,111.07239176156584,111.1614,1398068.0
20191126,111.22070199004973,111.40860820895521,111.15147338308456,111.3196,1805347.0
20191125,111.10201840370569,111.28003481204347,111.0130101995368,111.0229,1791660.0
20191122,110.96357139039816,111.0426898013717,110.87456317805291,111.0328,2549457.0
20191121,110.90422661427168,110.99817972224703,110.62731219076538,110.7361,1863763.0
20191120,110.70642040014292,110.84487759914256,110.58774280100036,110.7262,2766554.0
20191119,110.5383,110.65697760579764,110.41962239420239,110.5383,1810211.0
20191118,111.14157771727001,111.18113691916263,110.67675709503192,110.7806,3847222.0
20191115,111.37892860062196,111.5470552021324,111.3097,111.3097,2275961.0
20191114,111.24047960163614,111.3676624401565,111.08224278854703,111.2207,2826771.0
20191113,110.68664900330741,110.75587760793778,110.59764079735407,110.6372,2235607.0
20191112,111.05254495715815,111.06737965458764,110.75585100856836,110.8053,2738234.0
20191111,111.0328,111.07928206644695,110.98335099314154,111.0328,1274978.0
20191108,111.1218,111.35243015094338,111.04268159487361,111.1218,1800668.0
20191107,111.4086411764706,111.4086411764706,110.8053631372549,110.9636,3859085.0
20191106,111.53720627053912,111.58665528910204,111.3493,111.3493,2212210.0
20191105,111.62616337302292,111.72506136484805,111.28002040163497,111.2998,5758558.0
20191104,112.18991841919548,112.24925723359209,111.9723427664079,112.1108,3434838.0
20191101,111.91294890845072,112.48655716549297,111.87338971830988,112.3481,8653934.0
20191031,111.46582268485916,111.9487,111.3672762940141,111.9487,4044903.0
20191030,111.51340717685028,111.54464637899018,110.84496708815986,111.4461,3268558.0
20191029,111.47561950960431,111.57416584934053,111.11099805258033,111.3278,3668100.0
20191028,111.76146495100204,111.8008835084312,111.50524432771256,111.6235,4973544.0
20191025,111.90930104892023,111.98813817540766,111.75162679594534,111.8009,1786510.0
20191024,111.8304,111.94806434402538,111.72199901304195,111.8304,1906371.0
